HackRF_TX_VGA_dB,AD8318_Voltage_V,Calculated_Power_dBm
0,1.4606625,-38.4265
2,1.4185750000000001,-36.743
4,1.37375,-34.949999999999996
6,1.32865,-33.146
8,1.2853875000000001,-31.4155
10,1.2405875,-29.623499999999993
12,1.1977375000000001,-27.9095
14,1.1562375,-26.249499999999998
16,1.0805125,-23.220499999999994
18,1.0283625,-21.134500000000003
20,0.9828625000000001,-19.314500000000002
22,0.938275,-17.531
24,0.8900625,-15.6025
26,0.8445750000000001,-13.783000000000001
28,0.7977625,-11.910499999999999
30,0.7507875,-10.031500000000001
32,0.7053,-8.212
34,0.6644,-6.575999999999997
36,0.6285625,-5.142499999999998
38,0.5977625,-3.910499999999999
40,0.5721,-2.8840000000000003
42,0.5532125,-2.128499999999999
44,0.5428625,-1.714500000000001
46,0.5401625,-1.606499999999997
